player_id,player_name,year,ipl_batting_score,ipl_bowling_score,intl_t20_batting_score,intl_t20_bowling_score,other_t20_batting_score,other_t20_bowling_score,batting_score,bowling_score,keeping_score,value_score,ipl_matches_played,intl_t20_matches_played,other_t20_matches_played,has_ipl_history,has_intl_history,has_other_t20_history,primary_role,is_overseas,capped,value_score_tier,base_price_cr,price_cr,price_to_base_multiplier,price_pct_of_purse,prior_price_pct_of_purse,has_prior_sale,role_scarcity
44a89551,KS Bharat,2023,,,,,21.935064935064933,,21.935064935064933,,63.214285714285715,30.2,10,0,34,1,0,1,Wicketkeeper,Unknown,0,OTHER_T20/SMAT,0.2,1.2,6.0,1.263157894736842,0.0,0,4
456397e5,Thisara Perera,2012,,,,,,,,,,,0,0,0,0,0,0,Batter,Yes,1,,0.25,3.19,12.76,7.233560090702948,0.0,0,9
45a43fe2,Ruturaj Gaikwad,2022,70.89732052138069,,,,40.777917789601815,,64.87343997502491,,,64.9,22,3,34,1,1,1,Batter,No,1,IPL/IPL,2.0,6.0,3.0,6.666666666666667,0.0,0,25
45a43fe2,Ruturaj Gaikwad,2025,72.15921694764862,,72.28270538984825,,41.35176089833734,,67.56897065080183,,,67.6,66,23,34,1,1,1,Batter,No,1,IPL/IPL,2.0,18.0,9.0,15.0,6.666666666666667,1,41
45c2196c,Doug Bollinger,2011,,,,,,,,,,,8,0,0,1,0,0,Bowler,Yes,1,,0.9,3.15,3.5,7.777777777777778,0.0,0,11
45eda7c8,Chris Lynn,2018,,,26.686640823964765,,60.33178452156236,,60.331784521562355,,,60.3,12,5,62,1,1,1,Batter,Yes,1,OTHER_T20/FRANCHISE,2.0,9.6,4.8,12.0,0.0,0,29
45eda7c8,Chris Lynn,2020,64.69180994315535,,47.919653679653685,,55.55837391774892,,59.12875547346897,,,59.1,41,18,91,1,1,1,Batter,Yes,1,IPL/IPL,2.0,2.0,1.0,2.3529411764705883,12.0,1,6
462411b3,Jasprit Bumrah,2014,,,,,,,,,,,2,0,0,1,0,0,Bowler,No,0,,0.2,1.2,6.0,2.0,0.0,0,15
462411b3,Jasprit Bumrah,2018,,47.601410934744266,,60.62913580246912,,26.654846426917736,,51.43309471936922,,51.4,47,32,9,1,1,1,Bowler,No,1,IPL/IPL,2.0,7.0,3.5,8.75,2.0,1,30
462411b3,Jasprit Bumrah,2022,,78.85063291139241,,65.61852719229768,,27.132723112128144,,74.95883711165867,,75.0,106,53,9,1,1,1,Bowler,No,1,IPL/IPL,2.0,12.0,6.0,13.333333333333334,8.75,1,25
462411b3,Jasprit Bumrah,2025,43.604227405247805,81.83370660694288,,74.55023097707661,,26.962537789839278,43.604227405247805,79.69150789227633,,79.7,133,67,9,1,1,1,Bowler,No,1,IPL/IPL,2.0,18.0,9.0,15.0,13.333333333333334,1,47
46a9bea1,Tushar Deshpande,2025,,44.81852315394242,,,,37.21753246753247,,43.298325016660435,,43.3,36,2,30,1,1,1,Bowler,No,1,IPL/IPL,1.0,6.5,6.5,5.416666666666667,0.0,0,47
48a1d7b7,Shimron Hetmyer,2019,,,24.82211445721766,,27.96013920140976,,25.998873736289692,,,26.0,0,8,13,0,1,1,Batter,Yes,1,INTL_T20/ASSOCIATE_FRINGE,0.5,4.2,8.4,5.090909090909091,0.0,0,8
48a1d7b7,Shimron Hetmyer,2020,,,43.787012987012986,,40.07106875689465,,42.3935339007186,,,42.4,5,17,25,1,1,1,Batter,Yes,1,INTL_T20/FULL_MEMBER,0.5,7.75,15.5,9.117647058823529,5.090909090909091,1,6
48a1d7b7,Shimron Hetmyer,2022,72.13832678948958,,47.96537195523371,,40.80103479257676,,61.39449428138869,,,61.4,31,39,49,1,1,1,Batter,Yes,1,IPL/IPL,0.5,8.5,17.0,9.444444444444445,9.117647058823529,1,25
48a1d7b7,Shimron Hetmyer,2025,74.20003327417922,,36.844316989053844,,55.63578205475737,,62.0764665199846,,,62.1,72,59,118,1,1,1,Batter,Yes,1,IPL/IPL,2.0,11.0,5.5,9.166666666666666,9.444444444444445,1,41
48fd7349,Michael Hussey,2011,,,70.49246481504547,,,,70.49246481504547,,,70.5,7,27,0,1,1,0,Batter,Yes,1,INTL_T20/FULL_MEMBER,0.9,1.91,2.12,4.716049382716049,0.0,0,26
48fd7349,Michael Hussey,2014,69.82773109243698,,64.60247785455542,,20.991883116883116,,68.29089190482475,,,68.3,46,38,6,1,1,1,Batter,Yes,1,IPL/IPL,2.0,5.0,2.5,8.333333333333332,4.716049382716049,1,26
495d42a5,Ravichandran Ashwin,2011,,,,,,,,,,,14,2,0,1,1,0,All-rounder,No,1,,0.45,3.83,8.51,9.45679012345679,0.0,0,18
495d42a5,Ravichandran Ashwin,2014,,68.71212121212122,,32.92032967032967,,,,58.18512369982958,,58.2,66,18,0,1,1,0,All-rounder,No,1,IPL/IPL,2.0,7.5,3.75,12.5,9.45679012345679,1,21
495d42a5,Ravichandran Ashwin,2016,31.376550620248096,73.51959966638867,,48.99879275653923,,,31.376550620248096,66.30759763408001,,55.8,96,27,0,1,1,0,All-rounder,No,1,IPL/IPL,2.0,9.5,4.75,14.728682170542637,12.5,1,10
495d42a5,Ravichandran Ashwin,2018,29.84950077592012,76.34146341463415,43.22099302309829,56.10377358490567,,,33.78229261332546,70.38920170000813,,59.4,110,45,0,1,1,0,All-rounder,No,1,IPL/IPL,2.0,7.6,3.8,9.5,14.728682170542637,1,25
495d42a5,Ravichandran Ashwin,2022,25.587243971998966,66.51938378195362,42.85077155097045,66.16179886335559,20.540895274937828,22.766726084373143,30.664752083461167,66.41421174707185,,55.7,166,49,7,1,1,1,All-rounder,No,1,IPL/IPL,2.0,5.0,2.5,5.555555555555555,9.5,1,17
495d42a5,Ravichandran Ashwin,2025,28.16453289390291,68.53357404926912,45.813820256176946,55.128540839784186,19.912577934399565,21.04812834224599,33.355499765159976,64.59091722295003,,55.2,210,62,7,1,1,1,All-rounder,No,1,IPL/IPL,2.0,9.75,4.88,8.125,5.555555555555555,1,24
4a491652,Moeen Ali,2018,,,,,,22.013496932515338,,22.013496932515338,,22.0,0,1,22,0,1,1,Bowler,Yes,1,OTHER_T20/FRANCHISE,1.5,1.7,1.13,2.125,0.0,0,30
4a491652,Moeen Ali,2021,,,,,40.967385295743505,21.751909337275187,40.967385295743505,21.751909337275187,,21.8,0,1,31,0,1,1,Bowler,Yes,1,OTHER_T20/FRANCHISE,2.0,7.0,3.5,8.235294117647058,2.125,1,4
4a491652,Moeen Ali,2022,,,,,41.36784511784511,21.83419299376746,41.36784511784511,21.83419299376746,,21.8,0,1,31,0,1,1,Bowler,Yes,1,OTHER_T20/FRANCHISE,2.0,8.0,4.0,8.88888888888889,8.235294117647058,1,25
4a491652,Moeen Ali,2025,,,,,40.29856687898089,14.705638665132335,40.29856687898089,14.705638665132337,,14.7,0,1,44,0,1,1,Bowler,Yes,1,OTHER_T20/FRANCHISE,2.0,2.0,1.0,1.6666666666666667,8.88888888888889,1,47
4a8a2e3b,Mahendra Singh Dhoni,2011,64.99142367066895,,54.79081133919844,,,,61.99124357317763,,73.95161290322581,64.4,43,23,0,1,1,0,Wicketkeeper,No,1,IPL/IPL,2.0,8.1,4.05,20.0,0.0,0,8
4a8a2e3b,Mahendra Singh Dhoni,2014,79.29292929292929,,56.85714285714287,,,,72.69416857652152,,90.9587888982338,76.3,95,40,0,1,1,0,Wicketkeeper,No,1,IPL/IPL,2.0,12.5,6.25,20.833333333333336,20.0,1,9
4a8a2e3b,Mahendra Singh Dhoni,2016,67.28825881497636,,58.53530997304583,,,,64.7138620967615,,90.49019607843138,69.9,128,49,0,1,1,0,Wicketkeeper,No,1,IPL/IPL,2.0,12.5,6.25,19.379844961240313,20.833333333333336,1,7
4a8a2e3b,Mahendra Singh Dhoni,2018,67.3527172361283,,65.10218894009216,,,,66.69079714905884,,97.29729729729729,72.8,158,83,0,1,1,0,Wicketkeeper,No,1,IPL/IPL,2.0,15.0,7.5,18.75,19.379844961240313,1,14
4a8a2e3b,MS Dhoni,2022,56.62774725274724,,64.05182668812205,,,,58.81130002785748,,100.0,67.0,219,95,0,1,1,0,Wicketkeeper,No,1,IPL/IPL,2.0,12.0,6.0,13.333333333333334,18.75,1,10
4a8a2e3b,MS Dhoni,2025,71.44620811287477,,59.86016407138064,,,,68.03854810067061,,99.43181818181819,74.3,263,95,0,1,1,0,Wicketkeeper,No,1,IPL/IPL,2.0,4.0,2.0,3.3333333333333335,13.333333333333334,1,14
4ae1755b,Harry Brook,2023,,,62.582447855175126,,57.641430155677796,,60.72956621786362,,,60.7,0,19,77,0,1,1,Batter,Yes,1,INTL_T20/FULL_MEMBER,1.5,13.25,8.83,13.94736842105263,0.0,0,5
4ae1755b,Harry Brook,2024,,,67.708068427607,,61.77789905071817,,65.48425491127368,,,65.5,11,28,85,1,1,1,Batter,Yes,1,INTL_T20/FULL_MEMBER,2.0,4.0,2.0,4.0,13.94736842105263,1,8
4ae1755b,Harry Brook,2025,,,72.46879402648634,,61.838666895329546,,68.48249635230253,,,68.5,11,38,92,1,1,1,Batter,Yes,1,INTL_T20/FULL_MEMBER,2.0,6.25,3.12,5.208333333333334,4.0,1,41
4b57e452,Murali Vijay,2011,,,19.086987778576564,,,,19.086987778576564,,,19.1,19,5,0,1,1,0,Batter,No,1,INTL_T20/ASSOCIATE_FRINGE,2.0,4.05,2.02,10.0,0.0,0,26
4b57e452,Murali Vijay,2014,57.56571995886962,,20.08421052631579,,,,57.565719958869614,,,57.6,64,6,0,1,1,0,Batter,No,1,IPL/IPL,2.0,5.0,2.5,8.333333333333332,10.0,1,26
4b57e452,Murali Vijay,2015,52.05691990283185,,20.393406593406592,,,,52.05691990283185,,,52.1,75,6,0,1,1,0,Batter,No,1,IPL/IPL,0.5,3.0,6.0,4.878048780487805,8.333333333333332,1,4
4b57e452,Murali Vijay,2018,61.05561105561106,,23.01023976023976,,,,61.05561105561106,,,61.1,100,8,0,1,1,0,Batter,No,1,IPL/IPL,2.0,2.0,1.0,2.5,4.878048780487805,1,29
4ba44e19,Muttiah Muralitharan,2011,,70.05434782608697,,52.523636363636356,,,,64.89825621948386,,64.9,40,12,0,1,1,0,Bowler,Yes,1,IPL/IPL,1.35,4.95,3.67,12.222222222222223,0.0,0,11
4ba44e19,Muttiah Muralitharan,2012,,51.88524590163935,,54.126666666666665,,,,52.54448730311797,,52.5,45,12,0,1,1,0,Bowler,Yes,1,IPL/IPL,0.98,1.08,1.1,2.4489795918367347,12.222222222222223,1,6
