auction_name,auction_role,auction_country,player_id,matched_registry_name,tier
Digvijay Deshmukh,ALL-ROUNDER,India,ddc7a53d,DR Deshmukh,A-auto
Dilshan Madushanka,BOWLER,Sri Lanka,de7d833e,D Madushanka,1b-abbrev-exact
Dinesh Bana,WICKETKEEPER,India,224fe44d,DB Bana,A-auto
Dipesh Parwani,BOWLER,India,eaf3f338,DM Parwani,2-fuzzy
Divesh Sharma,BOWLER,India,cca4633d,DK Sharma,A-auto
Dominic Drakes,ALL-ROUNDER,West Indies,34b332d3,DC Drakes,2-fuzzy
Donovan Ferreira,WICKETKEEPER,South Africa,f0af99a7,D Ferreira,1b-abbrev-exact
Duan Jansen,ALL-ROUNDER,South Africa,8dc152d1,D Jansen,A-auto
Dumindu Sewmina,BOWLER,Sri Lanka,702c6afb,D Sewmina,1b-abbrev-exact
Dunith Wellalage,ALL-ROUNDER,Sri Lanka,736123bb,DN Wellalage,2-fuzzy
Dushan Hemantha,ALL-ROUNDER,Sri Lanka,58431ca0,MADI Hemantha,B-manual
Dushmantha Chameera,BOWLER,Sri Lanka,327b58d3,PVD Chameera,2-fuzzy
Dwaine Pretorius,ALL-ROUNDER,South Africa,11614d87,D Pretorius,1b-abbrev-exact
Eshan Malinga,BOWLER,Sri Lanka,5750bcb4,E Malinga,1b-abbrev-exact
Evin Lewis,BATTER,West Indies,0ebfb1ad,E Lewis,1b-abbrev-exact
Faf Du Plessis,BATTER,South Africa,3355b542,F du Plessis,2-fuzzy
Fazalhaq Farooqi,BOWLER,Afghanistan,e9c7f0d0,Fazalhaq Farooqi,1-exact
Finn Allen,BATTER,New Zealand,bf74b130,FH Allen,2-fuzzy
Gaurav Gambhir,ALL-ROUNDER,India,242a9261,Gaurav Gambhir,1-exact
Gerald Coetzee,BOWLER,South Africa,3204c99f,G Coetzee,1b-abbrev-exact
Girinath Reddy,ALL-ROUNDER,India,5d3d423a,Girinath Reddy,1-exact
Glenn Maxwell,ALL-ROUNDER,Australia,b681e71e,GJ Maxwell,2-fuzzy
Glenn Phillips,BATTER,New Zealand,9a46c4e5,GD Phillips,2-fuzzy
Gudakesh Motie,ALL-ROUNDER,West Indies,97bdec3d,G Motie,1b-abbrev-exact
Gulbadin Naib,ALL-ROUNDER,Afghanistan,9f77963a,Gulbadin Naib,1-exact
Gurjapneet Singh,BOWLER,India,cc61ee8f,Gurjapneet Singh,1-exact
Gurnoor Singh Brar,BOWLER,India,99258814,Gurnoor Brar,A-auto
Gus Atkinson,ALL-ROUNDER,England,70d57519,AAP Atkinson,B-manual
Hardik Pandya,ALL-ROUNDER,India,dbe50b21,HH Pandya,A-auto
Harpreet Brar,ALL-ROUNDER,India,c05edf8e,Harpreet Brar,1-exact
Harry Brook,BATTER,England,4ae1755b,HC Brook,2-fuzzy
Harry Tector,BATTER,Ireland,59ea70a4,HT Tector,2-fuzzy
Harsh Dubey,ALL-ROUNDER,India,25228673,Harsh Dubey,1-exact
Harsh Tyagi,ALL-ROUNDER,India,4a15018a,Harsh Tyagi,1-exact
Harshal Patel,ALL-ROUNDER,India,f986ca1a,HV Patel,B-manual
Harshit Rana,BOWLER,India,77b1aa15,Harshit Rana,1-exact
Harvik Desai,WICKETKEEPER,India,9c86350f,H Desai,1b-abbrev-exact
Hasan Mahmud,BOWLER,Bangladesh,80ad39ac,Hasan Mahmud,1-exact
Heinrich Klaasen,WICKETKEEPER,South Africa,235c2bb6,H Klaasen,1b-abbrev-exact
Hilton Cartwright,ALL-ROUNDER,Australia,ab965cad,HWR Cartwright,A-auto
Himanshu Chauhan,BOWLER,India,d05876fd,HM Chauhan,2-fuzzy
Himanshu Sharma,BOWLER,India,52294a79,H Sharma,1b-abbrev-exact
Himmat Singh,BATTER,India,ebcfef83,Himmat Singh,1-exact
Hritik Shokeen,ALL-ROUNDER,India,0c9652b0,HR Shokeen,2-fuzzy
Ibrahim Zadran,BATTER,Afghanistan,d4550956,Ibrahim Zadran,1-exact
Ishan Kishan,WICKETKEEPER,India,752f7486,Ishan Kishan,1-exact
Ishan Porel,BOWLER,India,fdf7491e,IC Porel,2-fuzzy
Ishant Sharma,BOWLER,India,5bb1a1c4,I Sharma,1b-abbrev-exact
Jacob  Bethell,ALL-ROUNDER,England,3c55c703,JG Bethell,2-fuzzy
Jafar Jamal,BATTER,India,37940451,Jafar Jamal,1-exact
Jagadeesha Suchith,BOWLER,India,4125d931,J Suchith,1b-abbrev-exact
Jake Fraser-Mcgurk,BATTER,Australia,9b6e1b3f,J Fraser-McGurk,2-fuzzy
Jalaj Saxena,ALL-ROUNDER,India,249abedf,Jalaj S Saxena,A-auto
James Anderson,BOWLER,England,d12143bf,JM Anderson,B-manual
James Vince,BATTER,England,a15618fe,JM Vince,2-fuzzy
Jamie Overton,ALL-ROUNDER,England,59559bc2,J Overton,1b-abbrev-exact
Jasmer Dhankhar,BOWLER,India,a7e1f127,Jasmer Dhankhar,1-exact
Jason Behrendorff,BOWLER,Australia,4933f499,JP Behrendorff,2-fuzzy
Jason Holder,ALL-ROUNDER,West Indies,0f721006,JO Holder,2-fuzzy
Jasprit Bumrah,BOWLER,India,462411b3,JJ Bumrah,2-fuzzy
Jayant Yadav,ALL-ROUNDER,India,81049310,J Yadav,1b-abbrev-exact
Jaydev Unadkat,BOWLER,India,1e66c162,JD Unadkat,2-fuzzy
Jeffery Vandersay,BOWLER,Sri Lanka,aceb7654,JDF Vandersay,2-fuzzy
Jhye Richardson,BOWLER,Australia,1ee08e9a,JA Richardson,A-auto
Jimmy Neesham,ALL-ROUNDER,New Zealand,9219eff0,JDS Neesham,2-fuzzy
Jitesh Sharma,WICKETKEEPER,India,800d2d97,JM Sharma,B-manual
John Turner,BOWLER,England,cdd875d9,JA Turner,2-fuzzy
Johnson Charles,WICKETKEEPER,West Indies,09a9d073,J Charles,1b-abbrev-exact
Jonny Bairstow,WICKETKEEPER,England,abb83e27,JM Bairstow,2-fuzzy
Jonty Sidhu,ALL-ROUNDER,India,b3309131,Jonty Sidhu,1-exact
Jordan Cox,WICKETKEEPER,England,ff154ecd,JM Cox,2-fuzzy
Jos Buttler,WICKETKEEPER,England,99b75528,JC Buttler,2-fuzzy
Josh Hazlewood,BOWLER,Australia,03806cf8,JR Hazlewood,2-fuzzy
Josh Inglis,WICKETKEEPER,Australia,989889ff,JP Inglis,2-fuzzy
Josh Little,BOWLER,Ireland,9061a703,J Little,1b-abbrev-exact
Josh Philippe,WICKETKEEPER,Australia,39086549,JR Philippe,2-fuzzy
Joshua Brown,BATTER,Australia,647e7d44,J Brown,1b-abbrev-exact
Junior Dala,ALL-ROUNDER,South Africa,1cb14aa4,CJ Dala,B-manual
K.C Cariappa,ALL-ROUNDER,India,edb3d4f8,KC Cariappa,1-exact
K.M Asif,BOWLER,India,798cc28e,KM Asif,1-exact
K.S Bharat,WICKETKEEPER,India,44a89551,KS Bharat,1-exact
KL Rahul,WICKETKEEPER,India,b17e2f24,KL Rahul,1-exact
Kagiso Rabada,BOWLER,South Africa,e62dd25d,K Rabada,1b-abbrev-exact
Kamal Tripathi,ALL-ROUNDER,India,cd3dd36e,K Tripathi,1b-abbrev-exact
Kamindu Mendis,ALL-ROUNDER,Sri Lanka,08548b13,PHKD Mendis,B-manual
Kamlesh Nagarkoti,ALL-ROUNDER,India,b4f5c2d9,KL Nagarkoti,2-fuzzy
Kane Williamson,BATTER,New Zealand,d027ba9f,KS Williamson,2-fuzzy
Karim Janat,ALL-ROUNDER,Afghanistan,62175638,Karim Janat,1-exact
Karn Sharma,BOWLER,India,119678fd,KV Sharma,B-manual
Kartik Tyagi,BOWLER,India,5d2eea49,Kartik Tyagi,1-exact
Karun Nair,BATTER,India,944533a5,KK Nair,A-auto
Kaushik Maity,BATTER,India,93b430e8,Kaushik Maity,1-exact
Keemo Paul,ALL-ROUNDER,West Indies,75224f22,KMA Paul,2-fuzzy
Keshav Maharaj,BOWLER,South Africa,0b60eb09,KA Maharaj,2-fuzzy
Khrievitso Kense,ALL-ROUNDER,India,2597e56b,Khrievitso Kense,1-exact
Krish Bhagat,ALL-ROUNDER,India,e48a4814,Krish Bhagat,1-exact
Krishnappa Gowtham,ALL-ROUNDER,India,90de905a,K Gowtham,1b-abbrev-exact
Kritagya Singh,ALL-ROUNDER,India,fe608a7e,KR Singh,A-auto
Krunal Pandya,ALL-ROUNDER,India,5b8c830e,KH Pandya,2-fuzzy
Kuldeep Sen,BOWLER,India,2e78f685,KR Sen,A-auto
Kuldeep Yadav,BOWLER,India,8d2c70ad,Kuldeep Yadav,1-exact
Kuldip Yadav,BOWLER,India,030f3089,K Yadav,1b-abbrev-exact
Kulwant Khejroliya,BOWLER,India,fa2f1dde,K Khejroliya,1b-abbrev-exact
Kumar Kushagra,WICKETKEEPER,India,57ca01b3,Kumar Kushagra,1-exact
Kunal Rathore,WICKETKEEPER,India,e3851766,KS Rathore,2-fuzzy
Kusal Mendis,WICKETKEEPER,Sri Lanka,5d1e7582,BKG Mendis,B-manual
Kusal Perera,WICKETKEEPER,Sri Lanka,f21043a5,MDKJ Perera,B-manual
Kwena Maphaka,BOWLER,South Africa,107c26fb,KT Maphaka,2-fuzzy
Kyle Jamieson,BOWLER,New Zealand,68c56d09,KA Jamieson,2-fuzzy
Kyle Mayers,ALL-ROUNDER,West Indies,73c18486,KR Mayers,2-fuzzy
Kyle Verreynne,WICKETKEEPER,South Africa,bf814547,K Verreynne,1b-abbrev-exact
L.R Chethan,WICKETKEEPER,India,7ccfdbcb,LR Chethan,1-exact
Lahiru Kumara,BOWLER,Sri Lanka,4751caa3,CBRLS Kumara,B-manual
Lalit Yadav,ALL-ROUNDER,India,ad427b5c,Lalit Yadav,1-exact
Lance Morris,BOWLER,Australia,b08e58e2,LR Morris,2-fuzzy
Leus Du Plooy,BATTER,England,6e6fb538,JL du Plooy,B-manual
Liam Livingstone,ALL-ROUNDER,England,50c6bc2b,LS Livingstone,A-auto
Litton Das,WICKETKEEPER,Bangladesh,0404d43c,Liton Das,2-fuzzy
Lizaad Williams,BOWLER,South Africa,a1d95bd8,LB Williams,2-fuzzy
Lockie Ferguson,BOWLER,New Zealand,2f9d0389,LH Ferguson,2-fuzzy
Luke Wood,BOWLER,England,65b6943c,L Wood,1b-abbrev-exact
Lungisani Ngidi,BOWLER,South Africa,f834dcfc,L Ngidi,1b-abbrev-exact
Luvnith Sisodia,WICKETKEEPER,India,a689af4b,LUVNITH SISODIA,1-exact
M. Siddharth,BOWLER,India,cf0ccafa,M Siddharth,1-exact
MS Dhoni,WICKETKEEPER,India,4a8a2e3b,MS Dhoni,1-exact
Madhav Kaushik,BATTER,India,49110249,Madhav Kaushik,1-exact
Madhav Tiwari,ALL-ROUNDER,India,fb5f69e4,M Tiwari,1b-abbrev-exact
