auction_name,auction_role,auction_country,player_id,matched_registry_name,tier,confidence,note
T. Natarajan,BOWLER,India,ce794613,T Natarajan,1-exact,,
Anrich Nortje,BOWLER,South Africa,acdc62f5,A Nortje,1b-abbrev-exact,,
Noor Ahmad,BOWLER,Afghanistan,efc04be7,Noor Ahmad,1-exact,,
Rahul Chahar,BOWLER,India,2ed569a0,RD Chahar,2-fuzzy,94.1,
Wanindu Hasaranga,BOWLER,Sri Lanka,a97c8ec2,PWH de Silva,B-manual,,manual: full name Pathum Wanindu Hasaranga de Silva -- Cricsheet files him under de Silva
Waqar Salamkheil,BOWLER,Afghanistan,3f1066d0,Waqar Salamkheil,1-exact,,
Maheesh Theekshana,BOWLER,Sri Lanka,f24c6701,M Theekshana,1b-abbrev-exact,,
Adam Zampa,BOWLER,Australia,14f96089,A Zampa,1b-abbrev-exact,,
Yash Dhull,BATTER,India,dd7e9b3b,YV Dhull,2-fuzzy,93.3,
Abhinav Manohar,BATTER,India,0890552f,A Manohar,1b-abbrev-exact,,
Karun Nair,BATTER,India,944533a5,KK Nair,A-auto,,"manual: KK+surname, first-initial"
Angkrish Raghuvanshi,BATTER,India,d7017798,A Raghuvanshi,1b-abbrev-exact,,
Anmolpreet Singh,BATTER,India,1399b39c,Anmolpreet Singh,1-exact,,
Atharva Taide,BATTER,India,1ac746c8,Atharva Taide,1-exact,,
Nehal Wadhera,BATTER,India,d1a60072,N Wadhera,1b-abbrev-exact,,
Harpreet Brar,ALL-ROUNDER,India,c05edf8e,Harpreet Brar,1-exact,,
Naman Dhir,ALL-ROUNDER,India,fffa744b,Naman Dhir,1-exact,,
Mahipal Lomror,ALL-ROUNDER,India,da934ee8,MK Lomror,2-fuzzy,94.1,
Sameer Rizvi,ALL-ROUNDER,India,f89d3b11,Sameer Rizvi,1-exact,,
Abdul Samad,ALL-ROUNDER,India,8e514b4c,Abdul Samad,B-manual,,manual: blank-country Batter (India); other rows Japan/Pakistan
Vijay Shankar,ALL-ROUNDER,India,0994d0ae,V Shankar,1b-abbrev-exact,,
Ashutosh Sharma,ALL-ROUNDER,India,84d9c311,Ashutosh Sharma,1-exact,,
Nishant Sindhu,ALL-ROUNDER,India,3cea23da,N Sindhu,1b-abbrev-exact,,
Utkarsh Singh,ALL-ROUNDER,India,b2a55ac1,Utkarsh Singh,1-exact,,
Aryan Juyal,WICKETKEEPER,India,5f2732f7,Aryan Juyal,1-exact,,
Kumar Kushagra,WICKETKEEPER,India,57ca01b3,Kumar Kushagra,1-exact,,
Robin Minz,WICKETKEEPER,India,bafd0398,R Minz,1b-abbrev-exact,,
Anuj Rawat,WICKETKEEPER,India,c8f5f961,Anuj Rawat,1-exact,,
Luvnith Sisodia,WICKETKEEPER,India,a689af4b,LUVNITH SISODIA,1-exact,,
Vishnu Vinod,WICKETKEEPER,India,0494fa6e,Vishnu Vinod,1-exact,,
Upendra Singh Yadav,WICKETKEEPER,India,80ffea17,Upendra Yadav,B-manual,,manual: 99% name match
Vaibhav Arora,BOWLER,India,7c3b3b78,VG Arora,2-fuzzy,93.3,
Rasikh Dar,BOWLER,India,b8527c3d,Rasikh Salam,B-manual,,manual: Bowler; Rasikh Salam Dar
Akash Madhwal,BOWLER,India,4bd09374,Akash Madhwal,1-exact,,
Mohit Sharma,BOWLER,India,,,3-country-conflict,,reverted: only registry Mohit Sharma is Mexico; real Indian bowler not in registry under this name
Simarjeet Singh,BOWLER,India,30df8c66,Simarjeet Singh,1-exact,,
Yash Thakur,BOWLER,India,4b31f3a3,Yash Thakur,1-exact,,
Kartik Tyagi,BOWLER,India,5d2eea49,Kartik Tyagi,1-exact,,
Vyshak Vijaykumar,BOWLER,India,54e52590,Vijaykumar Vyshak,2-fuzzy,100.0,
Piyush Chawla,BOWLER,India,98ae73b1,PP Chawla,2-fuzzy,94.1,
Shreyas Gopal,BOWLER,India,7a8bd078,S Gopal,1b-abbrev-exact,,
Mayank Markande,BOWLER,India,a9fd84fb,M Markande,1b-abbrev-exact,,
Suyash Sharma,BOWLER,India,9440ef41,Suyash Sharma,1-exact,,
Karn Sharma,BOWLER,India,119678fd,KV Sharma,B-manual,,manual: India/All-rounder = Karn Vinay Sharma
Kumar Kartikeya Singh,BOWLER,India,,,3-collision,,reverted: another auction player also claimed registry id 0a509d6b
Manav Suthar,BOWLER,India,025c4400,MJ Suthar,2-fuzzy,94.1,
Mayank Agarawal,BATTER,India,00ea847a,MA Agarwal,B-manual,,manual: spelling variant
Faf Du Plessis,BATTER,South Africa,3355b542,F du Plessis,2-fuzzy,92.3,
Glenn Phillips,BATTER,New Zealand,9a46c4e5,GD Phillips,2-fuzzy,95.2,
Rovman Powell,BATTER,West Indies,650d5e49,R Powell,1b-abbrev-exact,,
Ajinkya Rahane,BATTER,India,29e95537,AM Rahane,2-fuzzy,94.1,
Prithvi Shaw,BATTER,India,8b3e9c7c,PP Shaw,2-fuzzy,92.3,
Kane Williamson,BATTER,New Zealand,d027ba9f,KS Williamson,2-fuzzy,96.0,
Sam Curran,ALL-ROUNDER,England,e94915e6,SM Curran,2-fuzzy,94.7,
Marco Jansen,ALL-ROUNDER,South Africa,81c36ee9,M Jansen,1b-abbrev-exact,,
Daryl Mitchell,ALL-ROUNDER,New Zealand,eade4650,DJ Mitchell,2-fuzzy,95.2,
Krunal Pandya,ALL-ROUNDER,India,5b8c830e,KH Pandya,2-fuzzy,94.1,
Nitish Rana,ALL-ROUNDER,India,fb2d1dda,N Rana,1b-abbrev-exact,,
