auction_name,auction_role,auction_country,player_id,matched_registry_name,tier,confidence,note
Baltej Dhanda,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 75.0: AB Dinda
Ravi Kumar,BOWLER,India,,,3-ambiguous,,2 registry rows share the abbreviated form 'r kumar'
Aradhya Shukla,BOWLER,India,,,3-ambiguous,,2 registry rows share the abbreviated form 'a shukla'
Dushan Hemantha,ALL-ROUNDER,Sri Lanka,,,3-nomatch,,best fuzzy candidate only 76.2: D Hemananda
Pyla Avinash,BATTER,India,,,3-nomatch,,best fuzzy candidate only 80.0: Avinash Yadav
Kiran Chormale,BATTER,India,,,3-nomatch,,best fuzzy candidate only 66.7: V Chopra
Ashish Dahariya,BATTER,India,,,3-nomatch,,best fuzzy candidate only 74.1: Ashish Thapa
Tushar Raheja,BATTER,India,,,3-nomatch,,best fuzzy candidate only 70.6: T Prashan
Raj Limbani,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 70.6: RD Banik
Sayed Irfan Aftab,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 66.7: Aftab Alam
Anirudh Chowdhary,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 90.9: A Choudhary
Venkata Satyanarayana Penmetsa,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 0.0: none
Yeddala Reddy,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 66.7: PA Reddy
Atharva Kale,BATTER,India,,,3-nomatch,,best fuzzy candidate only 80.0: Atharva Taide
Abhishek Nair,BATTER,India,,,3-nomatch,,best fuzzy candidate only 92.3: AJ Nair
Vishwanath Pratap Singh,BATTER,India,,,3-nomatch,,best fuzzy candidate only 87.5: VK Singh
Nasir Lone,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 69.0: Lone Nasir Muzaffar
Abid Mushtaq,ALL-ROUNDER,India,,,3-ambiguous,,2 registry rows share this exact name; country didn't disambiguate
Faridoon Dawoodzai,BOWLER,Afghanistan,,,3-nomatch,,best fuzzy candidate only 73.7: J Dawood
Junior Dala,ALL-ROUNDER,South Africa,,,3-nomatch,,best fuzzy candidate only 63.6: Sunil Salam
Nangeyalia Kharote,ALL-ROUNDER,Afghanistan,,,3-nomatch,,best fuzzy candidate only 70.6: MA Khote
James Anderson,BOWLER,England,,,3-ambiguous,,2 registry rows share the abbreviated form 'j anderson'
Prayas Ray Barman,BATTER,India,,,3-nomatch,,best fuzzy candidate only 85.7: P Ray Barman
Rituraj Sharma,BATTER,India,,,3-ambiguous,,2 registry rows share the abbreviated form 'r sharma'
Kartik Chadha,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 76.2: SSK Chaudhary
Ripal Patel,ALL-ROUNDER,India,,,3-ambiguous,,"4 fuzzy candidates >= 93.0: RH Patel(93), RK Patel(93), RV Patel(93), UR Patel(93)"
Shubham Kapse,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 71.4: Shubham Chaubey
Atif Mushtaq,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 85.7: Abid Mushtaq
Chetan Sharma,BOWLER,India,,,3-ambiguous,,"2 fuzzy candidates >= 93.0: R Sharma(88), I Sharma(88)"
Hilton Cartwright,ALL-ROUNDER,Australia,,,3-nomatch,,best fuzzy candidate only 92.3: HWR Cartwright
Lahiru Kumara,BOWLER,Sri Lanka,,,3-nomatch,,best fuzzy candidate only 80.0: R Kumar
Ajay Ahlawat,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 70.6: A Mahata
Mayank Gusain,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 73.7: MSS Hussain
Jalaj Saxena,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 92.3: Jalaj S Saxena
Sanjay Yadav,ALL-ROUNDER,India,,,3-ambiguous,,"3 fuzzy candidates >= 93.0: SA Yadav(93), SU Yadav(93), AS Yadav(93)"
Vishal Godara,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 78.3: Vishal Das
Samarth Nagraj,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 75.0: S Narwal
Abhishek Saini,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 85.7: N Saini
Vasu Vats,BOWLER,India,,,3-nomatch,,best fuzzy candidate only 62.5: AS Raut
Umang Kumar,ALL-ROUNDER,India,,,3-ambiguous,,"2 fuzzy candidates >= 93.0: UR Kumar(93), P Kumar(86)"
Mohamed Ali,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 90.9: AM Ali
Auqib Dar,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 76.9: A Dulara
Uday Saharan,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 75.0: W Sahan
Ayush Vartak,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 66.7: Anish Charak
Sumit Kumar Beniwal,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 73.3: Sumit Kumar
Digvijay Deshmukh,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 76.2: DR Deshmukh
Lakshay Jain,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 76.9: VL Jani
Duan Jansen,ALL-ROUNDER,South Africa,,,3-ambiguous,,2 registry rows share the abbreviated form 'd jansen'
Kritagya Singh,ALL-ROUNDER,India,,,3-ambiguous,,"3 fuzzy candidates >= 93.0: RK Singh(93), GK Singh(93), NK Singh(93)"
P. Vignesh,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 69.6: Vignesh Kannan
Sabhay Chadha,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 82.4: YS Chahal
Ben Howell,ALL-ROUNDER,England,,,3-nomatch,,best fuzzy candidate only 88.9: BAC Howell
Rohan Rana,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 83.3: N Rana
Arjun Azad,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 71.4: Saad Ali
Shubham Garhwal,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 84.2: SS Agarwal
Tejasvi Jaiswal,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 80.0: YBK Jaiswal
Prashant Chauhan,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 88.9: D Chauhan
Yash Dabas,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 80.0: Yash Dayal
Dhruv Kaushik,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 84.2: AJ Kaushik
Vijay Yadav,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 85.7: K Yadav
