player_id,player_name,country,primary_role
0ebb3444,L Scott,,Batter
0ebfb1ad,E Lewis,West Indies,Batter
0ec2277a,H Jangariya,Eswatini,Batter
0ec45a9a,Abubacarr Kuyateh,Gambia,Batter
0ec6a7c3,N Khanna,Malta,Batter
0ecb4de6,Rehan Ahmed,England,All-rounder
0ecf791e,S Dadswell,,Batter
0ed0389b,S Manoj,,Batter
0ed0cdbf,H Das,,Batter
0ed1a112,Ganesh Satish,,Batter
0ed66ce6,C Forshaw,Guernsey,Bowler
0ed9ff58,Rohit Jhanjhariya,,Batter
0edcb652,Subhransu Senapati,,Batter
0ee7ede5,Mahmad Data,Panama,Batter
0f05655d,Tashi Dorji,Bhutan,Batter
0f06d3cd,G Caisley,Brazil,Batter
0f12f9df,NLTC Perera,Sri Lanka,All-rounder
0f1d9054,S Brathwaite,,Batter
0f1ea8c4,Nelson Jesus Navarrete Aburto,Chile,Batter
0f21680d,GG White,,All-rounder
0f348f58,Sunzamul Islam,,Bowler
0f3e4716,JP Netto,Portugal,Batter
0f3ee070,OE Robinson,,All-rounder
0f44384f,NS Rathour,,Batter
0f60513c,Akash Choudhary,,Bowler
0f61aa94,P Donkaew,Thailand,Bowler
0f6db197,S Mahmood,England,Bowler
0f6e6d9d,Yousif Alzaid,Kuwait,Batter
0f6ffe16,Mokbul Ahammed,Qatar,Bowler
0f71478c,YSD Seneveratne,Cayman Islands,Batter
0f721006,JO Holder,West Indies,All-rounder
0f72f582,LB Ferbrache,Guernsey,Batter
0f85e75c,Fida Hussain,Italy,Batter
0f88e2dc,Shafraz Jaleel,Maldives,Batter
0f8e08ad,SO Olayinka,Nigeria,Batter
0f950a8f,RK Punjabi,Peru,Batter
0f9c9d1d,DC Delany,Ireland,Bowler
0fa5042b,L Ronchi,New Zealand,Wicketkeeper
0fa81719,V Saini,Romania,All-rounder
0fa92a21,C Bayraktar,Turkey,Batter
0faa702f,Shiva Mani,Slovenia,Bowler
0fc88c2a,SMK Waththage,Czech Republic,Bowler
0fce11e1,M Janicijevic,Serbia,Bowler
0fd147f7,S Nhlebela,,Bowler
0fdabe05,V Sibanda,Zimbabwe,Batter
0fdb1546,P Dutta,,Bowler
0fe0cb24,VK Singh,,Bowler
0ff20bec,Qazi Onik,,Bowler
0ff9728b,Ravi Kiran,,Bowler
0ffe5a4b,Josh Wilson,,Bowler
101373a3,Shehzad Patel,Swaziland,Batter
1013ace8,PG Wintz,,Bowler
101b1180,V Shukla,Oman,Batter
101dcc31,Shiraz Ahmed,,Bowler
1021b6e5,J Rasu,Vanuatu,Batter
103431a3,B Kruger,,Batter
10435ca2,CDJ Dent,,Batter
104e88a4,AJ Hose,,Batter
1062bebb,Siyabonga Mahima,,Bowler
10636efb,Ajay Sarkar,,Bowler
1066a976,AL Hughes,,All-rounder
106fe7a6,KKV Perera,,Bowler
10735e1d,JS Buckingham,,Bowler
1076ea52,Navindu Prabash,,Bowler
107c26fb,KT Maphaka,South Africa,Bowler
1087dd78,Mohamed Arief,Malaysia,Batter
10885753,V Dhaniram,Cayman Islands,Bowler
10962078,U Sofi,Samoa,Bowler
109d4ad1,Hmar Zothanchhunga,,Batter
10a2a1ff,PG Fulton,New Zealand,Batter
10a91f35,Shoaib Akhtar,Pakistan,Bowler
10ae134c,Jai Sinh,Switzerland,Batter
10b58586,AR Easwaran,,Batter
10b79140,TS Muyeye,,Batter
10b9c720,RH Kanyandula,Malawi,Batter
10bbea13,Avijit Singh,,Batter
10c158cc,K Sonavale,Oman,Batter
10d64f7c,Sarul Kanwar,,Batter
10da9f8b,CR McLachlan,,Batter
10e34eef,A Sokovagone,Fiji,Batter
10eef955,MJM Kavana,Cook Islands,Bowler
10f42013,WJ Lubbe,South Africa,All-rounder
10f68de1,WJ Weighell,,Bowler
10f7b52b,JD Baker,Samoa,Batter
11061889,SR Dubey,,Bowler
110b180a,DE Roache,Samoa,Batter
11174f6d,S Gasteratos,Greece,Bowler
1117e543,R Silva,,Wicketkeeper
111e207a,R Otim,Uganda,Bowler
1125ebe4,R Satheesan,Romania,Batter
112959b2,A Bagai,Canada,Batter
11378dda,S Mathur,Hong Kong,Batter
1137b65a,BS Dean,,Batter
113880da,RA Bhatti,Canada,Batter
11406bad,Mohammad Asaduzzaman,Finland,Bowler
11614d87,D Pretorius,South Africa,All-rounder
11687cd7,T Rajapakse,,Batter
1179469b,FK Cowdrey,,Batter
1186f196,JJ Pienaar,,Batter
118b0a7c,Aziz Sualley,Ghana,Bowler
118e6f66,AR Schaw,,Bowler
