player_id,player_name,primary_role,country,ipl_batting_score,intl_t20_batting_score,other_t20_batting_score,ipl_bowling_score,intl_t20_bowling_score,other_t20_bowling_score,batting_score,bowling_score,keeping_score,value_score,value_score_tier
fc362c5d,Qamar Mushtaque,Bowler,Norway,,29.34426553175613,,,31.540959050372713,,29.34426553175613,31.540959050372713,,31.5,INTL_T20/ASSOCIATE_FRINGE
755a77c6,GS Ballance,Batter,Zimbabwe,,,31.546573160432324,,,,31.546573160432324,,,31.5,OTHER_T20/FRANCHISE
008a024c,M Mooketsi,Bowler,Botswana,,13.269360829691326,,,31.493001208730245,,13.269360829691326,31.493001208730245,,31.5,INTL_T20/ASSOCIATE_FRINGE
8e6827f7,T Ntuli,Bowler,,,,,,,31.49264705882353,,31.49264705882353,,31.5,OTHER_T20/FRANCHISE
ae6746e0,Khurram Khan,Batter,United Arab Emirates,,31.510149380674193,,,30.556793941229603,,31.510149380674193,30.556793941229603,,31.5,INTL_T20/ASSOCIATE_FRINGE
46a9bea1,TU Deshpande,Bowler,India,,,,30.018716577540104,,37.21753246753247,,31.458479755538576,,31.5,IPL/IPL
4aad78d3,K Zondo,Batter,,,,31.548115363950128,,,38.214285714285715,31.548115363950124,38.214285714285715,,31.5,OTHER_T20/FRANCHISE
6821ac10,JJ van der Wath,Bowler,South Africa,,26.785420414477286,45.776699029126206,,19.973549102477207,31.53287197231834,45.776699029126206,31.53287197231834,,31.5,OTHER_T20/FRANCHISE
c7bdb5b5,NJ Reardon,Batter,Australia,,,31.498693185440178,,,,31.49869318544018,,,31.5,OTHER_T20/FRANCHISE
d3d096f5,DGAPD Wiswi,Bowler,Indonesia,,23.70270335244878,,,31.451605110531027,,23.70270335244878,31.451605110531027,,31.5,INTL_T20/ASSOCIATE_FRINGE
056b433b,Ishtiaq Ahmad,Bowler,Saudi Arabia,,28.428260530501365,,,31.459241561608,,28.428260530501365,31.459241561608,,31.5,INTL_T20/ASSOCIATE_FRINGE
f5390243,CD McMillan,Batter,New Zealand,,31.47438080088694,,,,,31.47438080088694,,,31.5,INTL_T20/ASSOCIATE_FRINGE
92f0e10e,Ahmed Aqeel,Batter,Malaysia,,31.54377998918031,,,20.702225315533298,,31.54377998918031,20.702225315533298,,31.5,INTL_T20/ASSOCIATE_FRINGE
a9b998d9,M Raikes,Batter,Gibraltar,,31.49797371159747,,,16.717615279592465,,31.49797371159747,16.717615279592465,,31.5,INTL_T20/ASSOCIATE_FRINGE
d3851cd8,Ehsan Khan,All-rounder,Hong Kong,,18.54044071616377,,,37.04854809437387,,18.54044071616377,37.04854809437387,,31.5,INTL_T20/ASSOCIATE_FRINGE
6892f9c3,Waji Ul Hassan,Batter,Saudi Arabia,,31.503272168539475,,,26.281819699928064,,31.503272168539475,26.281819699928064,,31.5,INTL_T20/ASSOCIATE_FRINGE
926c6d3c,Abdullah Mahmood,Bowler,Denmark,,19.167275678449982,,,31.46355564534495,,19.167275678449982,31.46355564534495,,31.5,INTL_T20/ASSOCIATE_FRINGE
5bb1a1c4,I Sharma,Bowler,India,45.138888888888886,,,33.40082644628099,23.336084774121584,36.68738404452691,45.138888888888886,31.377624667978022,,31.4,IPL/IPL
b018e1eb,L Louwrens,Batter,Namibia,,31.424487786144688,,,,,31.424487786144688,,,31.4,INTL_T20/ASSOCIATE_FRINGE
9244df4b,A Ashokan,Batter,Czech Republic,,31.395723808761574,,,24.560464837461033,,31.395723808761574,24.560464837461033,,31.4,INTL_T20/ASSOCIATE_FRINGE
dc670143,NJ Dexter,All-rounder,,,,27.539442766028866,,,33.045864262990456,27.539442766028866,33.045864262990456,,31.4,OTHER_T20/FRANCHISE
