year,player_id,player_name,value_score,price_cr
2014,a757b0d8,Kieron Pollard,67.2,7.5
2014,29e95537,Ajinkya Rahane,48.8,7.5
2014,c4487b84,AB de Villiers,74.5,7.5
2014,f5180fe6,Mitchell Johnson,47.8,6.5
2014,b681e71e,Glenn Maxwell,42.0,6.0
2014,fe93fd9d,Ravindra Jadeja,50.9,5.5
2014,bd17b45f,Stuart Binny,64.3,5.5
2014,86dc8f2e,Jacques Kallis,47.6,5.5
2014,dcce6f09,David Warner,70.3,5.5
2014,1c17e270,Robin Uthappa,56.6,5.0
2014,4b57e452,Murali Vijay,59.3,5.0
2014,48fd7349,Michael Hussey,76.2,5.0
2014,3fb19989,Mitchell Starc,88.4,5.0
2014,3355b542,Faf du Plessis,54.6,4.75
2014,2e81a32d,Bhuvneshwar Kumar,40.3,4.25
2014,56ab442f,Nathan Coulter-Nile,41.9,4.25
2014,98ae73b1,Piyush Chawla,49.9,4.25
2014,70d205c9,Ambati Rayudu,56.2,4.0
2014,b8d490fd,Aaron Finch,60.9,4.0
2014,372455c4,Quinton de Kock,83.7,3.5
2014,c03c6200,Darren Sammy,56.4,3.5
2014,b8a55852,Brendon McCullum,67.3,3.25
2014,5056011d,George Bailey,56.9,3.25
2014,6c6591ab,Pragyan Ojha,71.8,3.25
2014,3c6ffae8,Yusuf Pathan,64.6,3.25
2014,8ba8195d,Virender Sehwag,81.3,3.2
2014,1e66c162,Jaydev Unadkat,45.5,2.8
2014,5bb5a915,Morne Morkel,42.0,2.8
2014,26e5cabf,Manoj Tiwary,36.5,2.8
2014,5bb1a1c4,Ishant Sharma,20.4,2.6
2014,b57f8a9a,Brad Hodge,69.8,2.4
2014,c3d35165,Albie Morkel,57.3,2.4
2014,5fa06777,Irfan Pathan,46.6,2.4
2014,fe11caa6,Wriddhiman Saha,60.7,2.2
2014,508a1ea7,Shaun Marsh,61.6,2.2
2014,2e8994e7,Jean-Paul Duminy,62.6,2.2
2014,96fd40ae,Ashish Nehra,52.6,2.0
2015,1c914163,Yuvraj Singh,72.5,16.0
2015,c03f1114,Dinesh Karthik,51.6,10.5
2015,896d78ad,Angelo Mathews,47.8,7.5
2015,b8d490fd,Aaron Finch,57.3,3.2
2015,4b57e452,Murali Vijay,52.5,3.0
2015,c3d35165,Albie Morkel,50.5,3.0
2015,aa8d28ae,David Wiese,36.5,2.8
2015,c03c6200,Darren Sammy,60.5,2.8
2015,1a2676c5,Sean Abbott,20.6,2.4
2015,1e66c162,Jaydev Unadkat,41.8,1.1
2016,4a8a2e3b,Mahendra Singh Dhoni,72.9,12.5
2016,1dc12ab9,Suresh Raina,71.9,12.5
2016,fe93fd9d,Ravindra Jadeja,46.4,9.5
2016,495d42a5,Ravichandran Ashwin,56.0,9.5
2016,4329fbb5,Shane Watson,66.2,9.5
2016,29e95537,Ajinkya Rahane,54.4,8.0
2016,b8a55852,Brendon McCullum,74.1,7.5
2016,1c914163,Yuvraj Singh,63.9,7.0
2016,808f425a,James Faulkner,59.4,5.5
2016,96fd40ae,Ashish Nehra,59.1,5.5
2016,3d8feaf8,Mitchell Marsh,46.4,4.8
2016,a4cc73aa,Sanju Samson,45.5,4.2
2016,e342e5fb,Carlos Brathwaite,57.3,4.2
2016,14b14cd8,Dwayne Bravo,51.9,4.0
2016,3355b542,Faf du Plessis,64.8,4.0
2016,944533a5,Karun Nair,60.8,4.0
2016,99b75528,Jos Buttler,71.9,3.8
2016,5bb1a1c4,Ishant Sharma,15.2,3.8
2016,39f01cdb,Kevin Pietersen,78.7,3.5
2016,c03f1114,Dinesh Karthik,48.4,2.3
2016,8fd1a8f5,Dale Steyn,62.9,2.3
2016,a9da7784,Kyle Abbott,34.5,2.1
2016,d2a989fc,Dhawal Kulkarni,55.6,2.0
2016,bd17b45f,Stuart Binny,43.5,2.0
2016,dfc4d8b5,Kane Richardson,33.3,2.0
2017,e087956b,Benjamin Stokes,52.0,14.5
2017,245c97cb,Tymal Mills,70.8,12.0
2017,e62dd25d,Kagiso Rabada,50.9,5.0
2017,a818c1be,Trent Boult,53.2,5.0
2017,ded9240e,Pat Cummins,71.4,4.5
2017,119678fd,Karn Sharma,41.8,3.2
2017,0a3d54b9,Varun Aaron,12.3,2.8
2017,896d78ad,Angelo Mathews,53.0,2.0
2017,d2a6c0e6,Eoin Morgan,51.4,2.0
2018,ba607b88,Virat Kohli,77.4,17.0
2018,4a8a2e3b,Mahendra Singh Dhoni,75.7,15.0
2018,e087956b,Benjamin Stokes,50.6,12.5
2018,dcce6f09,David Warner,81.0,12.0
2018,1e66c162,Jaydev Unadkat,69.3,11.5
2018,1dc12ab9,Suresh Raina,77.8,11.0
2018,dbe50b21,Hardik Pandya,49.1,11.0
2018,c4487b84,AB de Villiers,78.8,11.0
2018,b17e2f24,KL Rahul,65.8,11.0
2018,93b4fc78,Manish Pandey,56.9,11.0
2018,45eda7c8,Chris Lynn,92.1,9.6
2018,3fb19989,Mitchell Starc,83.1,9.4
2018,b681e71e,Glenn Maxwell,68.0,9.0
2018,5b8c830e,Krunal Pandya,60.4,8.8
2018,9d430b40,Sunil Narine,69.5,8.5
2018,2e81a32d,Bhuvneshwar Kumar,71.6,8.5
2018,919a3be2,Rishabh Pant,65.8,8.0
2018,a4cc73aa,Sanju Samson,45.7,8.0
2018,495d42a5,Ravichandran Ashwin,61.0,7.6
2018,c03f1114,Dinesh Karthik,56.0,7.4
2018,4c5d73db,Chris Woakes,62.1,7.4
2018,5574750c,Jofra Archer,64.5,7.2
2018,7c7d63a2,Andrew Tye,86.2,7.2
2018,462411b3,Jasprit Bumrah,53.6,7.0
2018,fe93fd9d,Ravindra Jadeja,44.3,7.0
2018,85ec8e33,Shreyas Iyer,73.2,7.0
2018,14b14cd8,Dwayne Bravo,49.1,6.4
2018,1c17e270,Robin Uthappa,60.9,6.4
2018,b8d490fd,Aaron Finch,71.9,6.2
2018,d9273ee7,Marcus Stoinis,67.2,6.2
2018,57ee1fde,Yuzvendra Singh Chahal,73.2,6.0
2018,944533a5,Karun Nair,65.5,5.6
2018,ded9240e,Pat Cummins,64.0,5.4
2018,a757b0d8,Kieron Pollard,62.5,5.4
2018,0a476045,Shikhar Dhawan,60.4,5.2
2018,119678fd,Karn Sharma,57.1,5.0
2018,fe11caa6,Wriddhiman Saha,55.3,5.0
2018,99b75528,Jos Buttler,71.7,4.4
2018,e62dd25d,Kagiso Rabada,59.4,4.2
2018,98ae73b1,Piyush Chawla,58.4,4.2
2018,4329fbb5,Shane Watson,62.1,4.0
2018,29e95537,Ajinkya Rahane,46.5,4.0
2018,0ebfb1ad,Evin Lewis,82.8,3.8
2018,dcf81436,Siddarth Kaul,54.8,3.8
2018,b8a55852,Brendon McCullum,76.4,3.6
2018,73ad96ed,Deepak Hooda,49.6,3.6
2018,9d80c5e1,Shahbaz Nadeem,50.2,3.2
2018,d027ba9f,Kane Williamson,48.8,3.0
2018,d67d5f00,David Miller,73.7,3.0
2018,8cf9814c,Mohammad Shami,6.5,3.0
2018,372455c4,Quinton de Kock,66.7,2.8
2018,70d205c9,Ambati Rayudu,54.9,2.2
2018,94d7f855,Colin de Grandhomme,65.8,2.2
2018,2e11c706,Ben Cutting,57.2,2.2
2018,a818c1be,Trent Boult,55.8,2.2
2018,0a8fce53,Mustafizur Rahman,87.6,2.2
2018,56ab442f,Nathan Coulter-Nile,60.0,2.2
2018,db584dad,Christopher Gayle,83.4,2.0
2018,1c914163,Yuvraj Singh,64.2,2.0
2018,4b57e452,Murali Vijay,62.7,2.0
2018,f5180fe6,Mitchell Johnson,46.6,2.0
2018,e342e5fb,Carlos Brathwaite,64.6,2.0
2018,4a491652,Moeen Ali,19.1,1.7
2018,3355b542,Faf du Plessis,56.4,1.6
2019,1e66c162,Jaydev Unadkat,49.5,8.4
2019,e94915e6,Sam Curran,45.0,7.2
2019,c995d726,Colin Ingram,71.6,6.4
2019,e342e5fb,Carlos Brathwaite,49.8,5.0
2019,8cf9814c,Mohammad Shami,12.2,4.8
2019,3241e3fd,Nicolas Pooran,62.5,4.2
2019,d8b2f218,Barinder Singh Sran,13.3,3.4
2019,abb83e27,Jonny Bairstow,65.2,2.2
2019,94253925,Hanuma Vihari,8.8,2.0
2020,ded9240e,Pat Cummins,57.5,15.5
2020,b681e71e,Glenn Maxwell,65.7,10.75
2020,a1d053dd,Sheldon Cottrell,68.6,8.5
2020,56ab442f,Nathan Coulter-Nile,64.1,8.0
2020,48a1d7b7,Shimron Hetmyer,51.5,7.75
2020,98ae73b1,Piyush Chawla,57.4,6.75
2020,e94915e6,Sam Curran,49.2,5.5
2020,d2a6c0e6,Eoin Morgan,55.1,5.25
2020,d9273ee7,Marcus Stoinis,51.3,4.8
2020,b8d490fd,Aaron Finch,67.9,4.4
2020,dfc4d8b5,Kane Richardson,55.7,4.0
2020,1e66c162,Jaydev Unadkat,49.2,3.0
2020,1c17e270,Robin Uthappa,46.8,3.0
2020,ffe699c0,Chris Jordan,52.9,3.0
2020,69d03465,Alex Carey,57.7,2.4
2020,8fd1a8f5,Dale Steyn,69.8,2.0
2020,45eda7c8,Chris Lynn,67.7,2.0
2020,3d8feaf8,Mitchell Marsh,38.1,2.0
2021,68c56d09,Kyle Jamieson,74.6,15.0
2021,b681e71e,Glenn Maxwell,60.1,14.25
2021,1ee08e9a,Jhye Richardson,62.1,14.0
2021,90de905a,Krishnappa Gowtham,19.5,9.25
2021,64775749,Riley Meredith,73.7,8.0
2021,4a491652,Moeen Ali,22.8,7.0
2021,e86754b2,Tom Curran,42.5,5.25
2021,56ab442f,Nathan Coulter-Nile,61.5,5.0
2021,2a2e6343,Dan Christian,47.7,4.8
2021,a4e37e47,Shivam Dube,8.5,4.4
2021,32198ae0,Moises Henriques,56.1,4.2
2021,7dc35884,Shakib Al Hasan,64.1,3.2
2021,350bb1b1,Adam Milne,64.8,3.2
2022,b17e2f24,KL Rahul,78.7,17.0
2022,fe93fd9d,Ravindra Jadeja,62.3,16.0
2022,919a3be2,Rishabh Pant,73.5,16.0
2022,752f7486,Ishan Kishan,60.9,15.25
2022,dbe50b21,Hardik Pandya,61.8,15.0
2022,ba607b88,Virat Kohli,73.0,15.0
2022,a4cc73aa,Sanju Samson,55.9,14.0
2022,d027ba9f,Kane Williamson,69.8,14.0
2022,00ea847a,Mayank Agarwal,77.4,14.0
2022,23eeb873,Deepak Chahar,41.7,14.0
2022,85ec8e33,Shreyas Iyer,61.2,12.25
2022,4a8a2e3b,MS Dhoni,69.1,12.0
2022,462411b3,Jasprit Bumrah,80.3,12.0
2022,50c6bc2b,Liam Livingstone,81.9,11.5
2022,b681e71e,Glenn Maxwell,67.9,11.0
2022,1abb78f8,Shardul Thakur,49.8,10.75
2022,a97c8ec2,Wanindu Hasaranga,83.0,10.75
2022,3241e3fd,Nicholas Pooran,62.0,10.75
2022,99b75528,Jos Buttler,80.8,10.0
2022,2f9d0389,Lockie Ferguson,73.1,10.0
2022,85e0cf10,Prasidh Krishna,22.4,10.0
2022,e62dd25d,Kagiso Rabada,64.2,9.25
2022,d9273ee7,Marcus Stoinis,60.0,9.2
2022,39a2dfa8,Rahul Tewatia,50.7,9.0
2022,0f721006,Jason Holder,56.9,8.75
2022,f19ccfad,Washington Sundar,42.6,8.75
2022,77255a9e,Rahul Tripathi,65.3,8.5
2022,48a1d7b7,Shimron Hetmyer,72.6,8.5
2022,0a476045,Shikhar Dhawan,62.0,8.25
2022,5b8c830e,Krunal Pandya,54.8,8.25
2022,f1f99156,Tim David,91.2,8.25
2022,4a491652,Moeen Ali,23.0,8.0
2022,5b7ab5a9,Varun Chakravarthy,81.0,8.0
2022,5574750c,Jofra Archer,72.4,8.0
2022,a818c1be,Trent Boult,45.7,8.0
2022,2c25d4f5,Devdutt Padikkal,48.6,7.75
2022,03806cf8,Josh Hazlewood,68.7,7.75
2022,c5aef772,Romario Shepherd,79.2,7.75
2022,8b3e9c7c,Prithvi Shaw,70.9,7.5
2022,8d92a2c3,Mark Wood,38.9,7.5
2022,c38d3503,Shivam Mavi,48.9,7.25
2022,ded9240e,Pat Cummins,55.6,7.25
2022,2f49c897,Mohammed Siraj,36.2,7.0
2022,3355b542,Faf du Plessis,75.8,7.0
2022,372455c4,Quinton de Kock,69.1,6.75
2022,abb83e27,Jonny Bairstow,68.4,6.75
2022,70d205c9,Ambati Rayudu,72.1,6.75
2022,acdc62f5,Anrich Nortje,75.6,6.5
2022,3d8feaf8,Mitchell Marsh,63.3,6.5
2022,57ee1fde,Yuzvendra Chahal,72.0,6.5
2022,dcce6f09,David Warner,72.1,6.25
2022,8cf9814c,Mohammad Shami,32.2,6.25
2022,45a43fe2,Ruturaj Gaikwad,85.1,6.0
2022,a757b0d8,Kieron Pollard,70.2,6.0
2022,9d430b40,Sunil Narine,68.4,6.0
2022,73ad96ed,Deepak Hooda,33.8,5.75
2022,c03f1114,Dinesh Karthik,64.3,5.5
2022,2ed569a0,Rahul Chahar,71.5,5.25
2022,495d42a5,Ravichandran Ashwin,57.2,5.0
2023,e94915e6,Sam Curran,55.6,18.5
2023,19b9f399,Cameron Green,47.6,17.5
2023,e087956b,Ben Stokes,56.4,16.25
2023,3241e3fd,Nicholas Pooran,67.8,16.0
2023,4ae1755b,Harry Brook,80.6,13.25
2023,00ea847a,Mayank Agarwal,61.6,8.25
2023,c38d3503,Shivam Mavi,33.7,6.0
2023,0f721006,Jason Holder,52.0,5.75
2023,235c2bb6,Heinrich Klaasen,66.5,5.25
2023,cad00a4d,Rilee Rossouw,82.7,4.6
2023,9061a703,Joshua Little,79.3,4.4
2023,9caf69a1,Will Jacks,77.6,3.2
2023,93b4fc78,Manish Pandey,55.3,2.4
2023,d027ba9f,Kane Williamson,59.9,2.0
2023,3d284ca3,Phil Salt,76.6,2.0
2023,249d60c9,Adil Rashid,58.9,2.0
2023,1ee08e9a,Jhye Richardson,49.0,1.5
2023,14f96089,Adam Zampa,67.6,1.5
2023,7dc35884,Shakib Al Hasan,59.6,1.5
2024,3fb19989,Mitchell Starc,80.4,24.75
2024,ded9240e,Pat Cummins,57.9,20.5
2024,8108e2d2,Daryl Mitchell,48.4,14.0
2024,b0946605,Alzarri Joseph,47.6,11.5
2024,83c3e8e3,Spencer Johnson,38.8,10.0
2024,cad00a4d,Rilee Rossouw,89.2,8.0
2024,650d5e49,Rovman Powell,78.4,7.4
